2910	Jack in the Bot	1761.155034888562
2046	Bear Metal	1685.1528229877204
4043	NerdHerd	1500.705948212193
3674	CloverBots	1485.5055519627736
1540	Flaming Chickens	1470.7178084543561
2990	Hotwire	1460.7666516574443
1983	Skunk Works	1431.4331738952358
2930	Sonic Squirrels	1430.915739222546
6443	AEMBOT	1417.2675020055906
2928	Viking Robotics	1380.263069849223
4911	CyberKnights	1376.0864356616298
5085	LakerBots	1313.2202082452625
4488	Shockwave	1287.6617004511754
2412	Robototes	1245.5488137886896
4512	Otter Chaos	1244.4886010456346
1425	Error Code Xero	1225.392898452381
4060	Bearcat Robotics	1203.863377428089
2147	CHUCK	1201.9739175428092
2471	Mean Machine	1198.802240487726
2522	Royal Robotics	1196.3841351902938
3574	HIGH TEKERZ	1191.9626578594361
948	NRG	1191.0412109497893
5803	Apex Robotics	1186.607070971275
2915	Pandamonium	1170.0626694740565
4980	Canine Crusaders	1168.481792235649
4513	Circuit Breakers	1164.7044014611135
6845	River Bots	1163.5540242294558
4057	Steampunk	1156.4141147867351
3636	Generals	1155.1284666172737
3588	the Talon	1152.8233254174736
3826	SRF	1142.7508920523333
6465	Mystic Biscuit	1141.4852910824839
5588	Reign Robotics	1140.0383804337525
4692	Metal Mallards	1135.2584584441609
2898	Flying Hedgehogs	1133.3309464727286
1258	SeaBot	1130.1484808086889
6445	CTEC Robotics	1129.742838439686
997	Spartan Robotics	1122.306930257893
7034	2B Determined	1114.349053962182
2976	Spartabots	1104.0545792929456
4131	Iron Patriots	1103.634814280605
1318	IRS	1097.2132392873436
2733	Pigmice	1089.2799454602803
4061	SciBorgs	1080.8582406406672
3663	CPR	1078.865726022149
2907	Lion Robotics	1072.4426110888521
4125	Confidential	1071.2115446752118
4469	RAID	1070.1576688579316
1899	Saints Robotics	1066.0200890686838
4089	Stealth Robotics	1064.7823253965619
5827	Code Purple	1060.1089301111037
6503	Iron Dragon	1060.0796241822504
6343	Steel Ridge Robotics	1050.4625110668583
5468	Chaos Theory	1042.305049831922
3876	LugNutz	1035.7839030907253
4918	The Roboctopi	1034.4162696979174
957	Swarm	1031.9045237499593
5937	MI-Robotics	1030.3597677653904
6350	Clawbots	1029.3776452983907
1294	Top Gun	1025.7549782026133
3238	Cyborg Ferrets	1020.6824381927653
3693	GearHead Pirates	1019.844045592287
492	Titan Robotics Club	1019.1394929485389
3218	Panther Robotics	1018.8825207690544
6696	Cardinal Robotics	1018.5382475995838
3268	Vahallabots	1013.1440191492807
5920	VIKotics	1011.1503526162195
5450	SHREC	1007.9180275680494
3673	CYBORG Seagulls	1004.3712532028337
753	High Desert Droids	1000.2746130862457
4662	Byte Sized	1000.1050362011354
4726	Robo Dynasty	1000.0
5748	Adna Pirate Robotics	1000.0
7493	Phoenix Force Robotics	1000.0
7819	Automataardvarks	1000.0
4450	ORF	997.8397781008108
4110	DEEP SPACE NINERS	997.0586225997195
360	The Revolution	990.5476753000574
4205	ROBOCUBS	990.3438916692658
4579	RoboEagles	981.7368596246663
1778	Chill Out	978.8684133161936
2811	Stormbots	965.6980402075071
1595	The Dragons	964.9547938152625
3393	Horns of Havoc	962.0919250864282
2927	Pi Rho Techs	954.7046687356016
2097	Phoenix Force Robotics	954.6867018017181
5975	Beta Blues	954.2977471377601
2926	Robo Sparks	949.0423581324649
488	Team XBot	947.3086463661188
3812	Bits & Bots	943.4080621848237
2521	SERT	940.9440935241684
6129	Warp Speed	940.7801552102737
3219	TREAD	937.3226866356309
3049	BremerTron	935.0146837442525
2980	Whidbey Wild Cats	934.5577835146526
5198	Knight Tech	919.1752159045814
2550	Skynet	914.1483285122902
3070	Pronto	911.7248256418297
3220	Mechanics of Mayhem	908.669973019642
1571	CALibrate Robotics	903.416451224852
3711	Iron Mustangs	899.9346551690161
2557	SOTAbots	895.1691733475034
847	PHRED	894.8359076046711
3681	Robo-Raiders	894.343274196147
6442	Modern Americans	886.8488690441015
6076	Mustang Mechanica	885.5648285256889
2374	Crusader Bots	885.1936218277805
3131	Gladiators	885.1923350758168
3024	My Favorite Team	882.1240522511939
3192	High Visibility	877.5313733926804
2148	Mechaknights	877.3484853006664
955	CV Robotics	875.6441042249282
7776	MVR	872.1299406351578
4309	4-H Botsmiths	869.8570924479814
4173	IMVERT	869.7622887007066
3684	Electric Eagles	868.1001529777438
3223	ROCK	862.3042711795088
4180	Iron Riders	855.3263619873534
7627	Descendants of GORT	855.2857700907317
4683	Full Metal Robotics	854.831978372926
4682	BraveBots	854.587052296688
1510	Wildcats	845.1265406071902
0	no show	839.0156033846636
1359	Scalawags	835.9234303723571
7118	ScotBots	819.1441813144846
2903	Neobots	817.5774653743679
5683	Hello World	808.2215815361252
7461	Binary Circles	805.8533586787524
949	Wolverine Robotics	805.7784975991452
2944	Titanium Tigers	804.2463051159684
4915	Spartonics	803.730766576259
2929	JAGBOTS	799.3607137690755
4104	Blackhawks	796.9484862250856
5977	Rosemary Rebels	790.6700080751137
2906	Sentinel Prime	789.3296500016116
4127	Loggerbots	787.3004702354365
7204	Freedom Gliders	785.000528154294
4461	Ramen	781.9283843477139
3786	Chargers	780.548470461317
5970	BeaverTronics	775.9917059806204
6831	A-05 Annex	773.2821314589219
1432	Metal Beavers	763.9849508236736
2411	Rebel Alliance	762.488133938606
6959	Organized Chaos	760.507288105708
3712	RoboCats	760.2075364474415
2635	Lake Monsters	755.1575958936425
5295	Aldernating Current	750.6595564404706
568	Nerds of the North	746.8927906265843
4681	Murphy's law	745.3946395654809
4051	Sabin Sharks	732.0197781067039
